stock_id,date,revenue
1225,2025-04-01,1061994000
1225,2025-05-01,1018583000
1225,2025-06-01,1008123000
1225,2025-07-01,984253000
1225,2025-08-01,1006566000
1225,2025-09-01,939446000
1225,2025-10-01,925938000
1225,2025-11-01,967903000
1225,2025-12-01,992489000
1225,2026-01-01,1130151000
1225,2026-02-01,1313398000
1225,2026-03-01,889099000
1225,2026-04-01,1078686000
1225,2026-05-01,1110177000
1227,2024-02-01,3409425000
1227,2024-03-01,1318295000
1227,2024-04-01,2068129000
1227,2024-05-01,2083668000
1227,2024-06-01,2314332000
1227,2024-07-01,1959516000
1227,2024-08-01,2139161000
1227,2024-09-01,2599750000
1227,2024-10-01,2895023000
1227,2024-11-01,2080184000
1227,2024-12-01,2760180000
1227,2025-01-01,3346029000
1227,2025-02-01,3268631000
1227,2025-03-01,1605125000
1227,2025-04-01,2006555000
1227,2025-05-01,2029826000
1227,2025-06-01,2164443000
1227,2025-07-01,1980512000
1227,2025-08-01,1928591000
1227,2025-09-01,2370684000
1227,2025-10-01,2981999000
1227,2025-11-01,2154553000
1227,2025-12-01,2611225000
1227,2026-01-01,2774103000
1227,2026-02-01,3796317000
1227,2026-03-01,1872242000
1227,2026-04-01,2101944000
1227,2026-05-01,1931499000
1229,2024-02-01,1061632000
1229,2024-03-01,786464000
1229,2024-04-01,1202405000
1229,2024-05-01,1132924000
1229,2024-06-01,1066638000
1229,2024-07-01,1739578000
1229,2024-08-01,949035000
1229,2024-09-01,918462000
1229,2024-10-01,916900000
1229,2024-11-01,832906000
1229,2024-12-01,1110299000
1229,2025-01-01,1229499000
1229,2025-02-01,864201000
1229,2025-03-01,789043000
1229,2025-04-01,768711000
1229,2025-05-01,1106918000
1229,2025-06-01,862668000
1229,2025-07-01,2140098000
1229,2025-08-01,978972000
1229,2025-09-01,1017481000
1229,2025-10-01,1235489000
1229,2025-11-01,1015427000
1229,2025-12-01,1273348000
1229,2026-01-01,1367820000
1229,2026-02-01,996429000
1229,2026-03-01,687463000
1229,2026-04-01,932321000
1229,2026-05-01,604369000
1231,2024-02-01,1113178000
1231,2024-03-01,884138000
1231,2024-04-01,908144000
1231,2024-05-01,859339000
1231,2024-06-01,923424000
1231,2024-07-01,867577000
1231,2024-08-01,1115087000
1231,2024-09-01,1148313000
1231,2024-10-01,920820000
1231,2024-11-01,1048386000
1231,2024-12-01,1016716000
1231,2025-01-01,1396819000
1231,2025-02-01,1289469000
1231,2025-03-01,834848000
1231,2025-04-01,1001578000
1231,2025-05-01,998002000
1231,2025-06-01,1018378000
1231,2025-07-01,963173000
1231,2025-08-01,1144425000
1231,2025-09-01,1168240000
1231,2025-10-01,1068355000
1231,2025-11-01,1058351000
1231,2025-12-01,1019108000
1231,2026-01-01,1303204000
1231,2026-02-01,1271114000
1231,2026-03-01,1103687000
1231,2026-04-01,973737000
1231,2026-05-01,1007987000
1232,2024-02-01,2119258000
1232,2024-03-01,1595396000
1232,2024-04-01,1911693000
1232,2024-05-01,1793456000
1232,2024-06-01,1848037000
1232,2024-07-01,1696595000
1232,2024-08-01,1859450000
1232,2024-09-01,1810031000
1232,2024-10-01,1742432000
1232,2024-11-01,1858530000
1232,2024-12-01,1881431000
1232,2025-01-01,1950296000
1232,2025-02-01,1828340000
1232,2025-03-01,1633429000
1232,2025-04-01,1935400000
1232,2025-05-01,1833047000
1232,2025-06-01,1666647000
1232,2025-07-01,1604514000
1232,2025-08-01,1758494000
1232,2025-09-01,1780197000
1232,2025-10-01,1796364000
1232,2025-11-01,1860932000
1232,2025-12-01,1822177000
1232,2026-01-01,1993530000
1232,2026-02-01,2213265000
1232,2026-03-01,1661070000
1232,2026-04-01,2019725000
1232,2026-05-01,1890202000
1233,2024-02-01,208014000
1233,2024-03-01,184141000
1233,2024-04-01,189036000
1233,2024-05-01,171314000
1233,2024-06-01,182752000
1233,2024-07-01,175138000
1233,2024-08-01,171241000
1233,2024-09-01,185428000
1233,2024-10-01,183712000
1233,2024-11-01,161317000
1233,2024-12-01,193364000
1233,2025-01-01,211857000
1233,2025-02-01,220238000
1233,2025-03-01,161766000
1233,2025-04-01,169134000
1233,2025-05-01,168871000
1233,2025-06-01,196357000
1233,2025-07-01,163079000
1233,2025-08-01,160451000
1233,2025-09-01,178499000
1233,2025-10-01,187040000
1233,2025-11-01,181007000
1233,2025-12-01,176031000
1233,2026-01-01,202853000
1233,2026-02-01,198102000
1233,2026-03-01,200044000
1233,2026-04-01,175658000
1233,2026-05-01,173250000
1234,2024-02-01,1068204000
1234,2024-03-01,920491000
1234,2024-04-01,650704000
1234,2024-05-01,667933000
1234,2024-06-01,810162000
