Code,Name,Industry,Ticker
8102,傑霖科技,半導體業,8102.TWO
8107,大億金茂,電機機械,8107.TWO
8109,博大,電子零組件業,8109.TWO
8111,立��,光電業,8111.TWO
8121,越峰,電子零組件業,8121.TWO
8147,正淩,電子零組件業,8147.TWO
8155,博智,電子零組件業,8155.TWO
8171,天宇,綠能環保,8171.TWO
8176,智捷,通信網路業,8176.TWO
8182,加高,電子零組件業,8182.TWO
8183,精星,其他電子業,8183.TWO
8227,巨有科技,半導體業,8227.TWO
8234,新漢,電腦及週邊設備業,8234.TWO
8240,華宏,光電業,8240.TWO
8255,朋程,電機機械,8255.TWO
8272,全景軟體,資訊服務業,8272.TWO
8277,商丞,半導體業,8277.TWO
8279,生展,生技醫療業,8279.TWO
8284,三竹,資訊服務業,8284.TWO
8289,泰藝,電子零組件業,8289.TWO
8291,尚茂,電子零組件業,8291.TWO
8299,群聯,半導體業,8299.TWO
8342,益張,其他業,8342.TWO
8349,�矬�,鋼鐵工業,8349.TWO
8354,冠好,其他業,8354.TWO
8358,金居,電子零組件業,8358.TWO
8383,千附,半導體業,8383.TWO
8390,金益鼎,綠能環保,8390.TWO
8401,白紗科,其他業,8401.TWO
8403,盛弘,生技醫療業,8403.TWO
8409,商之器,生技醫療業,8409.TWO
8410,森田,電腦及週邊設備業,8410.TWO
8415,大國鋼,鋼鐵工業,8415.TWO
8416,實威,資訊服務業,8416.TWO
8421,旭源,其他業,8421.TWO
8423,保綠-KY,綠能環保,8423.TWO
8424,惠普,建材營造業,8424.TWO
8426,紅木-KY,其他業,8426.TWO
8431,匯鑽科,其他電子業,8431.TWO
8432,東生華,生技醫療業,8432.TWO
8433,弘帆,居家生活,8433.TWO
8435,鉅邁,其他業,8435.TWO
8436,大江,生技醫療業,8436.TWO
8437,大地-KY,其他業,8437.TWO
8440,綠電,綠能環保,8440.TWO
8444,綠河-KY,其他業,8444.TWO
8446,華研,文化創意業,8446.TWO
8450,霹靂,文化創意業,8450.TWO
8455,大拓-KY,其他電子業,8455.TWO
8472,夠麻吉,數位雲端,8472.TWO
8477,創業家,數位雲端,8477.TWO
8489,三貝德,其他業,8489.TWO
8905,裕國,其他業,8905.TWO
8906,花王,其他業,8906.TWO
8908,欣雄,油電燃氣業,8908.TWO
8916,光隆,其他業,8916.TWO
8917,欣泰,油電燃氣業,8917.TWO
8921,沈氏,其他業,8921.TWO
8923,時報,文化創意業,8923.TWO
8924,大田,運動休閒,8924.TWO
8927,北基,油電燃氣業,8927.TWO
8928,鉅明,運動休閒,8928.TWO
8929,富堡,其他業,8929.TWO
8930,青鋼,鋼鐵工業,8930.TWO
8931,大汽電,油電燃氣業,8931.TWO
8932,智通*,其他業,8932.TWO
8933,愛地雅,運動休閒,8933.TWO
8935,邦泰,其他業,8935.TWO
8936,國統,其他業,8936.TWO
8937,合騏,其他業,8937.TWO
8938,明安,運動休閒,8938.TWO
8941,關中,居家生活,8941.TWO
8942,森鉅,其他業,8942.TWO
9949,琉園,文化創意業,9949.TWO
9950,萬國通,塑膠工業,9950.TWO
9951,皇田,電機機械,9951.TWO
9960,邁達康,運動休閒,9960.TWO
9962,有益,鋼鐵工業,9962.TWO
